"Feature","Importance"
"Attendance",27852.1476707002
"Hours_Studied",17584.0386614614
"Previous_Scores",5972.11522889762
"Tutoring_Sessions",2679.81494873178
"Physical_Activity",2151.24925791003
"Access_to_Resources",2101.33448827478
"Sleep_Hours",2085.57530638358
"Parental_Involvement",2046.63719243486
"Peer_Influence",1391.27934860482
"Family_Income",1307.77675481089
"Parental_Education_Level",1279.80983702798
"Distance_from_Home",1205.81212538716
"Motivation_Level",1144.13199892749
"Teacher_Quality",1003.29390024073
"Learning_Disabilities",744.213694023604
"Extracurricular_Activities",681.29932436866
"Internet_Access",660.127990544954
"School_Type",495.138502491183
"Gender",479.206463772094
